#separator:tab
#html:true
#tags column:52
10:20 AM + Que horas são?	10:20 AM	Que horas são?	São dez e vinte																																																Curso::1A2 Portugues::Frases::Calendario::Horas::Que_horas_sao?
mexilhão, mexilhões	"<img src=""_mejillones.JPG"">"	mexilhão, mexilhões	o mexilhão, os mexilhões	/u mɨʃiˈʎɐ̃w̃ | uʒ mɨʃiˈʎõj̃ʃ/	/u meʃiˈʎɐ̃w̃ | uʒ meʃiˈʎõj̃s/	sm, smp	Marisco de concha preta, comum em pratos portugueses.		mussel, mussels	/ˈməsəl | ˈməsəlz/	/ˈmʌsᵊl | ˈmʌsᵊlz/	n	A type of shellfish often used as food.		mejillón, mejillones						moule		/mul/				Muschel		/ˈmʊʃl̩/				musclo						cozze												Portugues::Vocabulario::Alimentos Portugues::Vocabulario::Avanzado Vocabulary::Food
film-maker		cineasta	o cineasta	/u siniˈaʃtɐ/	/u siniˈastɐ/	s m/f	O diretor ou criador de filmes.		film-maker	/ˈfɪlmˈmeɪkə˞/	/ˈfɪlmˈmeɪkə/	n	A person who directs or produces films.		cineasta						cinéaste						Filmemacher						cineasta						cineasta												Curso::1C1 Vocabulary::Film
vacina		vacina	a vacina	/ɐ vɐˈsinɐ/	/a vaˈsinɐ/	sf	Substância utilizada para prevenir doenças infecciosas.		vaccine	/vækˈsin/	/ˈvæksiːn/	n	A substance used to stimulate the production of antibodies and provide immunity against diseases.		vacuna						vaccin						Impstoff						vacuna						vaccino												Portugues::Vocabulario::Corpo Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Medicinas Vocabulary::Health
vesícula biliar		vesícula biliar	a vesícula biliar	/ɐ vɨˈzikulɐ biliˈaɾ/	/a veˈzikulɐ biliˈaʁ/	sf	Órgão localizado sob o fígado que armazena a bile.		gallbladder	/ˈɡɔlˌblædə˞/	"/#gallbladder#/"	n	A small organ beneath the liver that stores bile.		vesícula biliar						vésicule biliaire						Gallenblase						vesícula biliar						cistifellea												Portugues::Vocabulario::Saude Vocabulary::Body::Organs Vocabulary::Health
laringe		laringe	a laringe	/ɐ lɐˈɾĩʒɨ/	/a laˈɾĩʒi/	sf	Órgão do sistema respiratório localizado no pescoço, responsável pela produção da voz.		larynx	/ˈlɛrɪŋks/	/ˈlærɪŋks/	n	The voice box, located in the throat.		laringe						larynx						Kehlkopf						laringe						laringe												Portugues::Vocabulario::Saude Vocabulary::Health
nervosismo		nervosismo	o nervosismo	/u nɨɾvuˈziʒmu/	/u neʁvoˈziʒmu/	sm	Estado de ansiedade, tensão ou agitação.		nervousness	/ˈnɜ˞vəsnəs/	/ˈnɜːvəsnəs/	n	A state of being anxious or uneasy.		nerviosismo						nervosité						Nervosität						nerviosisme						nervosismo												Portugues::Vocabulario::Saude Vocabulary::Health
faringe		faringe	a faringe	/ɐ fɐˈɾĩʒɨ/	/a faˈɾĩʒi/	sf	Canal muscular que conecta a boca e as cavidades nasais ao esôfago e à laringe.		pharynx	/ˈfɛrɪŋks/	/ˈfærɪŋks/	n	The muscular tube connecting the nose and mouth to the esophagus.		faringe						pharynx						Rachen						faringe						faringe												Portugues::Vocabulario::Saude Vocabulary::Health
órgãos dos sentidos		órgãos dos sentidos	os órgãos dos sentidos	/uz ˈɔɾɡɐ̃w̃ʒ ˈdɔʃ sẽˈtiduʃ/	/uz ˈɔʁɡɐ̃w̃s ˈdɔs sẽˈtʃidus/	smp	Partes do corpo responsáveis por captar estímulos externos, como olhos, ouvidos, pele, etc.		sense organs	/ˈsɛns ˈɔrɡənz/	/ˈsens ˈɔːɡənz/	np	Organs that detect external stimuli, such as eyes or ears.		órganos de los sentidos						organes des sens						Sinnesorgane						òrgans dels sentits						organismi sensoriali												Portugues::Vocabulario::Saude Vocabulary::Health
glândulas		glândulas	as glândulas	/ɐʒ ˈɡlɐ̃dulɐʃ/	/aʒ ˈɡlɐ̃dulas/	sfp	Estruturas que produzem e secretam substâncias, como hormônios ou suor.		glands	/ˈɡlændz/	/ˈɡlændz/	np	Organs that secrete hormones or other substances.		glándulas						glandes						Drüsen						glàndules						ghiandole												Portugues::Vocabulario::Saude Vocabulary::Health
nervos espinhais		nervos espinhais	os nervos espinhais	/uʒ ˈnɛɾvuʃ ʃpiˈɲajʃ/	/uʒ ˈnɛʁvus ispiˈɲajs/	smp	Estruturas do sistema nervoso que conectam a medula espinhal às diferentes partes do corpo.		spinal nerves	/ˈspaɪnl̩ ˈnɜ˞vz/	/ˈspaɪnᵊl ˈnɜːvz/	np	Nerves that emerge from the spinal cord to the body.		nervios espinales						nerfs spinaux						Spinalnerven						nervis espinals						nervi spinali												Portugues::Vocabulario::Saude Vocabulary::Health
nervos cranianos		nervos cranianos	os nervos cranianos	/uʒ ˈnɛɾvuʃ kɾɐniˈɐnuʃ/	/uʒ ˈnɛʁvus kɾɐniˈɐnus/	smp	Nervos que emergem diretamente do encéfalo e controlam funções da cabeça e do pescoço.		cranial nerves	/ˈkɹeɪniəl ˈnɜ˞vz/	/ˈkreɪniəl ˈnɜːvz/	np	Nerves originating from the brainstem.		nervios craneales						nerfs crâniens						Hirnnerven						nervis cranials						nervi cranici												Portugues::Vocabulario::Saude Vocabulary::Health
gânglios nervosos		gânglios nervosos	os gânglios nervosos	/uʒ ˈɡɐ̃ɡliuʒ nɨɾˈvɔzuʃ/	/uʒ ˈɡɐ̃ɡlius neʁˈvɔzus/	smp	Estruturas do sistema nervoso que atuam como centros de retransmissão de impulsos nervosos.		nerve ganglia	/ˈnɜ˞v ˈɡæŋɡliə/	/ˈnɜːv ˈɡæŋɡlɪə/	np	Clusters of nerve cell bodies in the peripheral nervous system.		ganglios nerviosos						ganglions nerveux						Nervenganglien						ganglis nerviosos						gangli nervosi												Portugues::Vocabulario::Saude Vocabulary::Health
sistema nervoso central		sistema nervoso central	o sistema nervoso central	/u siˈʃtɛmɐ nɨɾˈvɔzu sẽˈtɾaɫ/	/u sisˈtɛmɐ neʁˈvɔzu sẽˈtɾaw/	sm	Parte do sistema nervoso composta pelo encéfalo e pela medula espinhal.		central nervous system	/ˈsɛntɹəl ˈnɜ˞vəs ˈsɪstəm/	/ˈsentrəl ˈnɜːvəs ˈsɪstəm/	n	The brain and spinal cord, which process and transmit information.		sistema nervioso central						système nerveux central						zentrales Nervensystem						sistema nerviós central						sistema nervoso centrale												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
encéfalo		encéfalo	o encéfalo	/u ẽˈsɛfɐlu/	/u ẽˈsɛfalu/	sm	Parte do sistema nervoso central localizada no crânio, responsável pelo controle das funções do corpo.		brain	/ˈbɹeɪn/	/ˈbreɪn/	n	The organ in the skull responsible for thought, memory, and control of the body.		encéfalo						encéphale						Gehirn						encèfal						cervello												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
medula espinhal		medula espinhal	a medula espinhal	/ɐ mɨˈdulɐ ʃpiˈɲaɫ/	/a meˈdulɐ ispiˈɲaw/	sf	Estrutura do sistema nervoso central localizada dentro da coluna vertebral.		spinal cord	/ˈspaɪnl̩ ˈkʰɔrd/	/ˈspaɪnᵊl ˈkʰɔːd/	n	The bundle of nerves within the spine that transmits signals.		médula espinal						moelle épinière						Rückenmark						medul·la espinal						midollo spinale												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
axônios		axônios	os axônios	/uz ɐˈʃoniuʃ/	/uz aˈʃonius/	smp	Prolongamentos de células nervosas que conduzem impulsos elétricos.		axons	/ˈækˌsɑnz/	/ˈæksɒnz/	np	Thin nerve fibers that transmit electrical impulses.		axones						axones						Axone						axons						assoni												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
sistema nervoso periférico		sistema nervoso periférico	o sistema nervoso periférico	/u siˈʃtɛmɐ nɨɾˈvɔzu pɨɾiˈfɛɾiku/	/u sisˈtɛmɐ neʁˈvɔzu peɾiˈfɛɾiku/	sm	Parte do sistema nervoso que conecta o sistema nervoso central ao resto do corpo.		peripheral nervous system	/pə˞ˈɹɪfə˞ɹəl ˈnɜ˞vəs ˈsɪstəm/	/pəˈrɪfᵊrᵊl ˈnɜːvəs ˈsɪstəm/	n	The part of the nervous system outside the brain and spinal cord.		sistema nervioso periférico						système nerveux périphérique						peripheres Nervensystem						sistema nerviós perifèric						sistema nervoso periferico												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
nervos sensitivos (aferentes)		nervos sensitivos (aferentes)	os nervos sensitivos (aferentes)	/uʒ ˈnɛɾvuʃ sẽsiˈtivuʃ | ɐfɨˈɾẽtɨʃ |/	/uʒ ˈnɛʁvus sẽsiˈtʃivus | afeˈɾẽtes |/	smp	Nervos que transmitem informações sensoriais ao sistema nervoso central.		sensory nerves	/ˈsɛnsə˞ɹi ˈnɜ˞vz/	/ˈsensᵊri ˈnɜːvz/	np	Nerves that carry signals from sensory organs to the brain.		nervios sensitivos						nerfs sensitifs						sensible Nerven						nervis sensitius						nervi sensitivi												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
nervos motores (eferentes)		nervos motores (eferentes)	os nervos motores (eferentes)	/uʒ ˈnɛɾvuʒ muˈtɔɾɨʃ | ifɨˈɾẽtɨʃ |/	/uʒ ˈnɛʁvus moˈtɔɾes | ifeˈɾẽtes |/	smp	Nervos que transmitem comandos motores do sistema nervoso central para os músculos.		motor nerves	/ˈmoʊtə˞ ˈnɜ˞vz/	/ˈməʊtə ˈnɜːvz/	np	Nerves that carry signals from the brain to muscles.		nervios motores						nerfs moteurs						motorische Nerven						nervis motors						nervi motori												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
fibras nervosas 		fibras nervosas	as fibras nervosas	/ɐʃ ˈfibɾɐʒ nɨɾˈvɔzɐʃ/	/aʃ ˈfibɾas neʁˈvɔzas/	sfp	Pequenas estruturas que compõem os nervos e transmitem impulsos elétricos.		nerve fibers	/ˈnɜ˞v ˈfaɪbə˞z/	/ˈnɜːv ˈfaɪbəz/	np	Slender threads that transmit nerve impulses.		fibras nerviosas						fibres nerveuses						Nervenfasern						fibres nervioses						fibre nervose												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
células		células	as células	/ɐʃ ˈsɛlulɐʃ/	/aʃ ˈsɛlulas/	sfp	Unidades fundamentais de todos os organismos vivos.		cells	/ˈsɛlz/	/ˈselz/	np	The basic structural and functional units of life.		células						cellules						Zellen						cèl·lules						cellule												Portugues::Vocabulario::Saude Vocabulary::Health
tecido adiposo		tecido adiposo	o tecido adiposo	/u tɨˈsidu ɐdiˈpɔzu/	/u teˈsidu adʒiˈpɔzu/	sm	Tipo de tecido composto por células que armazenam gordura.		adipose tissue	/ˈædəˌpoʊs ˈtʰɪʃu/	/ˈædɪpəʊs ˈtʰɪʃuː/	n	Tissue that stores fat in the body.		tejido adiposo						tissu adipeux						Fettgewebe						teixit adipós						tessuto adiposo												Portugues::Vocabulario::Saude Vocabulary::Health
vasos sanguíneos		vasos sanguíneos	os vasos sanguíneos	/uʒ ˈvazuʃ sɐ̃ˈɡwiniuʃ/	/uʒ ˈvazus sɐ̃ˈɡwinius/	smp	Estruturas que transportam sangue pelo corpo.		blood vessels	/ˈbləd ˈvɛsəlz/	/ˈblʌd ˈvesᵊlz/	np	Tubes that carry blood throughout the body.		vasos sanguíneos						vaisseaux sanguins						Blutgefäße						vasos sanguinis						vasi sanguigni												Portugues::Vocabulario::Saude Vocabulary::Health
vasos linfáticos		vasos linfáticos	os vasos linfáticos	/uʒ ˈvazuʒ lĩˈfatikuʃ/	/uʒ ˈvazus lĩˈfatʃikus/	smp	Estruturas que transportam linfa e participam do sistema imunológico.		lymphatic vessels	/lɪmˈfætɪk ˈvɛsəlz/	/lɪmˈfætɪk ˈvesᵊlz/	np	Vessels that transport lymph fluid as part of the immune system.		vasos linfáticos						vaisseaux lymphatiques						Lymphgefäße						vasos limfàtics						vasi linfatici												Portugues::Vocabulario::Saude Vocabulary::Health
células nervosas		células nervosas	as células nervosas	/ɐʃ ˈsɛlulɐʒ nɨɾˈvɔzɐʃ/	/aʃ ˈsɛlulas neʁˈvɔzas/	sfp	Unidades básicas do sistema nervoso que transmitem impulsos elétricos.		nerve cells	/ˈnɜ˞v ˈsɛlz/	/ˈnɜːv ˈselz/	np	Cells that transmit electrical impulses in the nervous system.		células nerviosas						cellules nerveuses						Nervenzellen						cèl·lules nervioses						cellule nervose												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
substância cinzenta		substância cinzenta	a substância cinzenta	/ɐ subˈʃtɐ̃siɐ sĩˈzẽtɐ/	/a subsˈtɐ̃siɐ sĩˈzẽtɐ/	sf	Parte do sistema nervoso central composta por corpos celulares de neurônios.		gray matter	/ˈɡɹeɪ ˈmætə˞/	/ˈɡreɪ ˈmætə/	n	The darker tissue of the brain and spinal cord consisting of nerve cells.		sustancia gris						substance grise						Graue Substanz						substància grisa						sostanza grigia												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
raízes nervosas 		raízes nervosas	as raízes nervosas	/ɐʒ ʁɐˈizɨʒ nɨɾˈvɔzɐʃ/	/aʒ ʁaˈizes neʁˈvɔzas/	sfp	Estruturas que conectam os nervos à medula espinhal.		nerve roots	/ˈnɜ˞v ˈɹuts/	/ˈnɜːv ˈruːts/	np	The initial segments of a nerve emerging from the spinal cord.		raíces nerviosas						racines nerveuses						Nervenwurzeln						arrels nervioses						radici nervose												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
folículos pilosos		folículos pilosos	os folículos pilosos	/uʃ fuˈlikuluʃ piˈlɔzuʃ/	/uʃ foˈlikulus piˈlɔzus/	smp	Estruturas na pele onde os cabelos e pelos crescem.		hair follicles	/ˈhɛr ˈfɑlɪkəlz/	/ˈheə ˈfɒlɪkᵊlz/	np	The skin structures from which hairs grow.		folículos pilosos						follicules pileux						Haarfollikel						fol·licles pilosos						follicoli piliferi												Portugues::Vocabulario::Saude Vocabulary::Health
coluna vertebral		coluna vertebral	a coluna vertebral	/ɐ kuˈlunɐ vɨɾtɨˈbɾaɫ/	/a koˈlunɐ veʁteˈbɾaw/	sf	Estrutura óssea que protege a medula espinhal e sustenta o corpo.		spine	/ˈspaɪn/	/ˈspaɪn/	n	The column of bones supporting the body and protecting the spinal cord.		columna vertebral						colonne vertébrale						Wirbelsäule						columna vertebral						colonna vertebrale												Portugues::Vocabulario::Saude Vocabulary::Health
sistema nervoso autônomo		sistema nervoso autônomo	o sistema nervoso autônomo	/u siˈʃtɛmɐ nɨɾˈvɔzu ɐwˈtonumu/	/u sisˈtɛmɐ neʁˈvɔzu awˈtonumu/	sm	Parte do sistema nervoso que controla funções involuntárias.		autonomic nervous system	/ˌɔtəˈnɑmɪk ˈnɜ˞vəs ˈsɪstəm/	/ˌɔːtəˈnɒmɪk ˈnɜːvəs ˈsɪstəm/	n	The part of the nervous system that controls involuntary functions.		sistema nervioso autónomo						système nerveux autonome						autonomes Nervensystem						sistema nerviós autònom						sistema nervoso autonomo												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
sistema nervoso simpático		sistema nervoso simpático	o sistema nervoso simpático	/u siˈʃtɛmɐ nɨɾˈvɔzu sĩˈpatiku/	/u sisˈtɛmɐ neʁˈvɔzu sĩˈpatʃiku/	sm	Parte do sistema nervoso autônomo associada à resposta de luta ou fuga.		sympathetic nervous system	/ˌsɪmpəˈθɛtɪk ˈnɜ˞vəs ˈsɪstəm/	/ˌsɪmpəˈθetɪk ˈnɜːvəs ˈsɪstəm/	n	The part of the autonomic nervous system involved in stress responses.		sistema nervioso simpático						système nerveux sympathique						sympathisches Nervensystem						sistema nerviós simpàtic						sistema nervoso simpatico												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
sistema nervoso parassimpático		sistema nervoso parassimpático	o sistema nervoso parassimpático	/u siˈʃtɛmɐ nɨɾˈvɔzu pɐɾɐsĩˈpatiku/	/u sisˈtɛmɐ neʁˈvɔzu paɾasĩˈpatʃiku/	sm	Parte do sistema nervoso autônomo associada ao estado de repouso e digestão.		parasympathetic nervous system	/ˌpæɹəˌsɪmpəˈθɛtɪk ˈnɜ˞vəs ˈsɪstəm/	/ˌpærəˌsɪmpəˈθetɪk ˈnɜːvəs ˈsɪstəm/	n	The part of the autonomic nervous system promoting rest and digestion.		sistema nervioso parasimpático						système nerveux parasympathique						parasympathisches Nervensystem						sistema nerviós parasimpàtic						sistema nervoso parasimpatico												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
arco reflexo		arco reflexo	o arco reflexo	/u ˈaɾku ʁɨˈflɛksu/	/u ˈaʁku ʁeˈflɛksu/	sm	Via neural que controla uma resposta automática e rápida a estímulos.		reflex arc	/ˈɹiˌflɛks ˈɑrk/	/ˈriːfleks ˈɑːk/	n	The nerve pathway involved in a reflex action.		arco reflejo						arc réflexe						Reflexbogen						arc reflex						arcata riflessa												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
câncer (BR)		câncer	o câncer	/u ˈkɐ̃sɨɾ/	/u ˈkɐ̃seʁ/	sm	(No Brasil) Doença caracterizada pelo crescimento descontrolado de células anormais. 		cancer	/ˈkʰænsə˞/	/ˈkʰænsə/	n	A disease characterized by uncontrolled cell growth.		cáncer						cancer						Krebs						càncer						cancro												Portugues::Vocabulario::Saude Vocabulary::Health
esclerose múltipla		esclerose múltipla	a esclerose múltipla	/ɐ ʃklɨˈɾɔzɨ ˈmuɫtiplɐ/	/a iskleˈɾɔzi ˈmuwtʃiplɐ/	sf	Doença autoimune que afeta o sistema nervoso central.		multiple sclerosis	/ˈməltəpəl sklə˞ˈɹoʊsəs/	/ˈmʌltɪpᵊl skləˈrəʊsɪs/	n	A disease affecting the central nervous system, causing nerve damage.		esclerosis múltiple						sclérose en plaques						Multiple Sklerose						esclerosi múltiple						sclerosi multipla												Portugues::Vocabulario::Saude Vocabulary::Health
macrófagos		macrófagos	os macrófagos	/uʒ mɐˈkɾɔfɐɡuʃ/	/uʒ maˈkɾɔfaɡus/	smp	Células do sistema imunológico que englobam e destroem partículas estranhas.		macrophages	/ˈmækɹəˌfeɪdʒəz/	/ˈmækrəʊˌfeɪdʒɪz/	np	Immune cells that engulf and digest pathogens.		macrófagos						macrophages						Macrophagen						macròfags						macrofagi												Portugues::Vocabulario::Saude Vocabulary::Health
sistema imunológico		sistema imunológico	o sistema imunológico	/u siˈʃtɛmɐ imunuˈlɔʒiku/	/u sisˈtɛmɐ imunoˈlɔʒiku/	sm	Conjunto de estruturas e processos que protegem o organismo contra infecções.		immune system	/ɪˈmjun ˈsɪstəm/	/ɪˈmjuːn ˈsɪstəm/	n	The body’s defense system against diseases and infections.		sistema inmunológico						système immunitaire						Immunsystem						sistema immunològic						sistema immunitario												Portugues::Vocabulario::Saude Vocabulary::Health
propriocepção		propriocepção	a propriocepção	/ɐ pɾupɾiusɨˈpsɐ̃w̃/	/a pɾopɾiosepˈsɐ̃w̃/	sf	Capacidade do corpo de perceber sua posição e movimento no espaço.		proprioception	/ˌpɹoʊpɹioˈsɛpʃən/	/ˌprəʊprɪəˈsepʃən/	n	The ability to sense the position and movement of the body.		propriocepción						proprioception						Propriozeption						propiocepció						propriocezione												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
vírus		vírus	o vírus	/u ˈviɾuʃ/	/u ˈviɾus/	sm	Agente infeccioso microscópico que pode causar doenças.		virus	/ˈvaɪɹəs/	/ˈvaɪərəs/	n	A microscopic infectious agent that replicates inside living cells.		virus						virus						Virus						virus						virus												Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
poliomielite		poliomielite	a poliomielite	/ɐ puliumiɨˈlitɨ/	/a poliomieˈlitʃi/	sf	Doença viral que pode causar paralisia muscular.		polio	/ˈpʰoʊlioʊ/	/ˈpʰəʊliəʊ/	n	A viral disease that can cause paralysis or muscle weakness.		poliomielitis						poliomyélite						Polio						pòlio						poliomielite												Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
paralisia		paralisia	a paralisia	/ɐ pɐɾɐliˈziɐ/	/a paɾaliˈziɐ/	sf	Perda da capacidade de mover parte do corpo.		paralysis	/pə˞ˈɹæləsəs/	/pəˈræləsɪs/	n	The loss of the ability to move parts of the body.		parálisis						paralysie						Lähmung						paràlisi						paralisi												Portugues::Vocabulario::Saude Portugues::Vocabulario::Saude::Doenças Vocabulary::Health
músculos esqueléticos		músculos esqueléticos	os músculos esqueléticos	/uʒ ˈmuʃkuluʃ skɨˈlɛtikuʃ/	/uʒ ˈmuskulus iskeˈlɛtʃikus/	smp	Músculos conectados aos ossos que permitem o movimento voluntário.		skeletal muscles	/ˈskɛlətl̩ ˈməsəlz/	/ˈskelɪtᵊl ˈmʌsᵊlz/	np	Muscles attached to bones that facilitate movement.		músculos esqueléticos						muscles squelettiques						Skelettmuskeln						muscles esquelètics						muscoli scheletrici												Portugues::Vocabulario::Saude Vocabulary::Health
prognósticos		prognósticos	os prognósticos	/uʃ pɾuɡˈnɔʃtikuʃ/	/uʃ pɾoɡˈnɔstʃikus/	smp	Previsões sobre a evolução de uma doença ou condição.		prognoses	/pɹɑɡˈnoʊˌsiz/	/prɒɡˈnəʊsiːz/	np	Medical predictions about the likely course of a disease.		pronósticos						pronostics						Prognosen						pronòstics						prognosi												Portugues::Vocabulario::Saude Vocabulary::Health
inflamação		inflamação	a inflamação	/ɐ ĩflɐmɐˈsɐ̃w̃/	/a ĩflɐmaˈsɐ̃w̃/	sf	Reação do corpo a lesões ou infecções, caracterizada por vermelhidão, calor, dor e inchaço.		inflammation	/ˌɪnfləˈmeɪʃən/	/ˌɪnfləˈmeɪʃᵊn/	n	Swelling and redness in response to infection or injury.		inflamación						inflammation						Entzündung						inflamació						inflammare												Portugues::Vocabulario::Saude Vocabulary::Health
inflamação ao redor		inflamação ao redor	a inflamação ao redor	/ɐ ĩflɐmɐˈsɐ̃w̃ ɐu ʁɨˈdoɾ/	/a ĩflɐmaˈsɐ̃w̃ au ʁeˈdoʁ/	sf	Reação inflamatória que ocorre nas proximidades de uma lesão ou infecção.		peri-inflammation	/ˈpʰɪriˌɪnfləˈmeɪʃən/	/ˈpʰɪəriˌɪnfləˈmeɪʃᵊn/	n	Inflammation surrounding a specific area or tissue.		inflamación perilesional						inflammation périlésionnelle						peri-Entzündung						inflamació perifèrica						infiammare intorno												Portugues::Vocabulario::Saude Vocabulary::Health
neurotransmissor		neurotransmissor	o neurotransmissor	/u newɾutɾɐ̃smiˈsɔɾ/	/u newɾotɾɐ̃smiˈsɔʁ/	sm	Substância química que transmite impulsos entre células nervosas.		neurotransmitter	/ˌnʊroˌtɹænsˈmɪtə˞/	/ˌnjʊərəʊtrænzˈmɪtə/	n	A chemical messenger that transmits signals between nerve cells.		neurotransmisor						neurotransmetteur						Neurotransmitter						neurotransmissor						neurotrasmettitore												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
expressão genética (PT), expressão gênica (BR)		expressão genética (PT), expressão gênica (BR)	a expressão genética (PT), a expressão gênica (BR)	/ɐ iʃpɾɨˈsɐ̃w̃ ʒɨˈnɛtikɐ/ ou /ɐ iʃpɾɨˈsɐ̃w̃ ˈʒenikɐ/	/a iʃpɾeˈsɐ̃w̃ ʒeˈnɛtʃikɐ/  ou  /a iʃpɾeˈsɐ̃w̃ ˈʒenikɐ/	sf	Processo pelo qual a informação contida no DNA é usada para produzir proteínas.		gene expression	/ˈdʒin ɪkˈspɹɛʃən/	/ˈdʒiːn ɪkˈspreʃᵊn/	n	The process by which genetic instructions are used to synthesize proteins.		expresión genética						expression génétique						Genexpression						expressió genètica						espressione genica												Portugues::Vocabulario::Saude Vocabulary::Health
sinapses 		sinapses	as sinapses	/ɐʃ siˈnapsɨʃ/	/aʃ siˈnapses/	sfp	Conexões entre células nervosas que permitem a transmissão de impulsos elétricos.		synapses	/ˈsɪˌnæpsəz/	/sɪˈnæpsiːz/	np	Junctions between nerve cells for transmitting signals.		sinapsis						synapses						Synapsen						sinapsis						sinapsi												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
sistema nervoso		sistema nervoso	o sistema nervoso	/u siˈʃtɛmɐ nɨɾˈvɔzu/	/u sisˈtɛmɐ neʁˈvɔzu/	sm	Conjunto de órgãos e tecidos que coordenam as funções corporais e a interação com o ambiente.		nervous system	/ˈnɜ˞vəs ˈsɪstəm/	/ˈnɜːvəs ˈsɪstəm/	n	The network of nerves and organs controlling the body and mind.		sistema nervioso						système nerveux						Nervensystem						sistema nerviós						sistema nervoso												Portugues::Vocabulario::Saude Portugues::Vocabulario::sistema_nervoso Vocabulary::Health
marcar uma consulta		marcar uma consulta	marcar uma consulta	/mɐɾˈkaɾ ˈumɐ kõˈsuɫtɐ/	/maʁˈkaʁ ˈumɐ kõˈsuwtɐ/	exp	Agendar um horário com um médico ou especialista.		schedule an appointment	/ˈʃedjuːl ən əˈpʰɔɪntmənt/	/ˈʃedjuːl ən əˈpʰɔɪntmənt/	exp	To set a specific time for a meeting or consultation.		programar una cita						prendre rendez-vous						einen Termin vereinbaren						programar una cita						fissare un appuntamento												Curso::1A2 Portugues::Vocabulario::Saude Vocabulary::Health
encenação		encenação	a encenação	/ɐ ẽsɨnɐˈsɐ̃w̃/	/a ẽsenaˈsɐ̃w̃/	sf	Ato de representar ou interpretar uma peça teatral ou cena.		staging	/ˈsteɪdʒɪŋ/	/ˈsteɪdʒɪŋ/	n	The process of planning and executing the setting for a performance or scene.		puesta en escena						mise en scène						Inszenierung						posada en escena						messa in scena												Curso::2A2 Vocabulary::Film Vocabulary::Theater
rickets		raquitismo	o raquitismo	/u ʁɐkiˈtiʒmu/	/u ʁakiˈtʃiʒmu/	sm	Doença causada por deficiência de vitamina D, que afeta o crescimento ósseo.		rickets	/ˈrɪkɪts/	/ˈrɪkɪts/	n	A disease of children caused by vitamin D deficiency, leading to soft and deformed bones.		raquitismo						rachitisme						Rachitis						raquitisme						rachitismo												English::Vocabulary Vocabulary::Health::Diseases
coitado, coitada		coitado, coitada	o coitado, a coitada	/u kojˈtadu | ɐ kojˈtadɐ/	/u kojˈtadu | a kojˈtadɐ/	sm, sf	Pessoa que inspira pena ou compaixão devido a uma situação difícil.	Coitado do João, ele perdeu o emprego ontem.	pitiful, poor	/ˈpʰɪtɪfəl | ˈpʰʊr/	/ˈpʰɪtifᵊl | ˈpʰɔː/				desdichado, desdichada						pauvre						bemitleidenswert						pobre						disgraziato, disgraziata												Curso::2A2 Curso::2A2::vocabulario_em_clase Portugues::Frases::Basicas Portugues::Vocabulario::Pessoas::Fofoca Vocabulary::Health
sentir-se muito embaixo		sentir-se muito embaixo	sentir-se muito embaixo	/sẽˈtiɾsɨ ˈmũjtu ẽˈbajʃu/	/sẽˈtʃiʁsi ˈmũjtu ẽˈbajʃu/	exp	"Estar muito triste ou desanimado. ""Sentirse muito ________"""	Ultimamente tenho me sentido muito embaixo, preciso de férias.	to feel very down	/tə ˈfil ˈvɛri ˈdaʊn/	/tə ˈfiːl ˈveri ˈdaʊn/				sentirse muy deprimido						se sentir très déprimé						sich sehr niedergeschlagen fühlen						sentir-se molt baix						sentirsi molto giù												Curso::2A2 Curso::2A2::vocabulario_em_clase Portugues::Frases Vocabulary::Health
