ID (FIELDS)	image	pt_word	pt_word_art	pt_ipa_PT	pt_ipa_BR	pt_type_gender	pt_notes	pt_marker	en_word	en_ipa_US	en_ipa_UK	en_type	en_notes	en_marker	es_word	es_ipa_ES	es_IPA_LA	es_type_gender	es_notes	es_marker	fr_word	fr_word_art	fr_ipa	fr_type_gender	fr_notes	fr_marker	de_word	de_word_art	de_ipa	de_type_gender	de_notes	de_marker	val_word	val_ipa	cat_ipa	val_type_gender	val_notes	val_marker	it_word	it_ipa	it_gender	it_notes	it_marker	en_pron	pt_pron	es_pron	fr_pron	de_pron	it_pron	val_pron	Portugues::Vocabulario::Animais Tags Vocabulary::Animals Vocabulary::Animals::Basic
meigo, meiga	<img src="Krista_Face.JPG">	meigo, meiga	meigo, meiga	/ˈmɐj.gu/ ,  /ˈmɐj.gɐ/	/ ˈmejɡu | ˈmejɡɐ /	adj m/f	Que é doce ou carinhoso.		sweet	/ˈswit/	/ˈswiːt/				afectuoso							doux						sanft						dolç						dolce											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
mentiroso, mentirosa	<img src="Armin_Lier.JPG">	mentiroso, mentirosa	mentiroso, mentirosa	/mẽ.ti.ˈɾo.zu/ ,  /mẽ.ti.ˈɾo.zɐ/	/ mẽtʃiˈɾɔzu | mẽtʃiˈɾɔzɐ /	adj m/f	Que não diz a verdade ou engana.		liar	/ˈlaɪə˞/	/ˈlaɪə/				mentiroso, mentirosa			adjm, adjf			menteur						Lügner							mentider						bugiardo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
meticuloso, meticulosa	<img src="Lewi_Sewing.JPG">	meticuloso, meticulosa	meticuloso, meticulosa	/mɨ.ti.ku.ˈɫo.zu/ ,  /mɨ.ti.ku.ˈɫo.zɐ/	/ metʃikuˈlɔzu | metʃikuˈlɔzɐ /	adj m/f	Que é detalhista ou perfeccionista.		meticulous	/məˈtɪkjələs/	/məˈtɪkjʊləs/				meticuloso						méticuleux							akribisch						meticulós						meticoloso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
misantropo, misantropa		misantropo, misantropa	o misantropo, a misantropa	/mi.zɐ̃.ˈtɾo.pu/ ,  /mi.zɐ̃.ˈtɾo.pɐ/	/ mizɐ̃ˈtɾɔpu | mizɐ̃ˈtɾɔpɐ /	sm / sf	Pessoa que evita ou odeia o convívio social.		misanthrope	/ˈmɪsn̩ˌθɹoʊp/	/ˈmɪsᵊnθrəʊp/				misántropo							misanthrope						Misantrop						misantrop						misantropo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
moderno, moderna		moderno, moderna	moderno, moderna	/mu.ˈdeɾ.nu/ ,  /mu.ˈdeɾ.nɐ/	/ moˈdɛʁnu | moˈdɛʁnɐ /	adj m/f	Que é atual ou contemporâneo.		modern	/ˈmɑdə˞n/	/ˈmɒdᵊn/				moderno							moderne						modern						modern						moderno											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
modesto, modesta		modesto, modesta	modesto, modesta	/mu.ˈdeʃ.tu/ ,  /mu.ˈdeʃ.tɐ/	/ moˈdɛstu | moˈdɛstɐ /	adj m/f	Que é humilde ou sem vaidade.		modest	/ˈmɑdəst/	/ˈmɒdɪst/				modesto							modeste						bescheiden						modest						modesto											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
natural		natural	natural	/nɐ.tu.ˈɾaɫ/	/ natuˈɾaw /	adj m/f	Que é espontâneo ou não artificial.		natural	/ˈnætʃə˞ɹəl/	/ˈnætʃᵊrᵊl/				natural							naturel						natürlich						natural						naturale											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
nervoso, nervosa	<img src="_nervous_nervoso_nervioso.JPG">	nervoso, nervosa	nervoso, nervosa	/nɨɾ.ˈvo.zu/ ,  /nɨɾ.ˈvo.zɐ/	/ neʁˈvɔzu | neʁˈvɔzɐ /	adj m/f	Que está ansioso ou irritado.		nervous	/ˈnɜ˞vəs/	/ˈnɜːvəs/				nervioso, nerviosa			adjm, adjf				nerveux						nervös						nerviós						nervoso											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
obediente	<img src="Mikasa_Mom_Stitching.jpg">	obediente	obediente	/o.bɨ.di.ˈẽ.tɨ/	/ obedʒiˈẽtʃi /	adj m/f	Que segue ordens ou regras.		obedient	/oˈbidiənt/	/əˈbiːdiənt/				obediente							obéissant						gehorsam						obedient						ubbidiente											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
olhos âmbar	<img src="_amber_eye.jpg">	olhos âmbar	olhos âmbar	/uz ˈo.ʎuz ˈɐ̃.baɾ (ˈo.kɾɨ ˈo ˈmɛɫ)/	/ ˈɔʎus ˈɐ̃baʁ | ˈɔkɾi ow ˈmɛw | /	exp	Refere-se a olhos de cor âmbar, entre dourado e castanho.		amber eyes	/ˈæmbə˞ ˈaɪz/	/ˈæmbər ˈaɪz/				ojos ámbar							yeux ambre						bernsteinfarbene Augen						ulls ambre						occhi ambra											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao::Olhos
olhos azuis	<img src="Armin_Face.JPG">	olhos azuis	olhos azuis	/uz ˈo.ʎuz ɐ.ˈzujʃ/	/ ˈɔʎus aˈzujs /	exp	Refere-se a olhos de cor azul.		blue eyes	/ˈblu ˈaɪz/	/ˈbluː ˈaɪz/				ojos azules							yeux bleus						blaue Augen						ulls blaus						occhi azzurri											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao::Olhos
olhos cinza	<img src="_olho_cinza_gray_eyes.jpg">	olhos cinza	olhos cinza	/uz ˈo.ʎuʃ ˈsĩ.zɐ/	/ ˈɔʎus ˈsĩzɐ /	exp	Refere-se a olhos de cor cinzenta.		gray eyes	/ˈɡɹeɪ ˈaɪz/	/ˈɡreɪ ˈaɪz/				ojos grises							yeux gris						graue Augen						ulls gris						occhi grigi											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao::Olhos
olhos pretos		olhos pretos	olhos pretos	/uz ˈo.ʎuʃ ˈpɾe.tuʃ/	/ ˈɔʎus ˈpɾɛtus /	exp	Refere-se a olhos de cor escura ou preta.		black eyes	/ˈblæk ˈaɪz/	/ˈblæk ˈaɪz/				ojos negros							yeux noirs						schwarze Augen						ulls negres						occhi neri											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao::Olhos
olhos verdes	<img src="Olhos_Verdes.jpg">	olhos verdes	olhos verdes	/uz ˈo.ʎuʒ ˈveɾ.dɨʃ/	/ ˈɔʎus ˈvɛʁdes /	exp	Refere-se a olhos de cor verde.		green eyes	/ˈɡɹin ˈaɪz/	/ˈɡriːn ˈaɪz/				ojos verdes							yeux verts						grüne Augen						ulls verds						occhi verdi											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao::Olhos
orgulhoso, orgulhosa		orgulhoso, orgulhosa	orgulhoso, orgulhosa	/oɾ.gu.ˈʎo.zu/ ,  /oɾ.gu.ˈʎo.zɐ/	/ oʁɡuˈʎɔzu | oʁɡuˈʎɔzɐ /	adj m/f	Que sente orgulho ou satisfação.		proud	/ˈpɹaʊd/	/ˈpraʊd/				orgulloso							fier						stolz						orgullós						orgoglioso											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
paciente		paciente	paciente	/pɐ.si.ˈẽ.tɨ/	/ pasiˈẽtʃi /	adj m/f	Que tem paciência ou é tolerante.		patient	/ˈpeɪʃənt/	/ˈpeɪʃᵊnt/				paciente							patient						geduldig						pacient						paziente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
pacífico, pacífica		pacífico, pacífica	pacífico, pacífica	/pɐ.ˈsi.fɨ.ku/ ,  /pɐ.ˈsi.fɨ.kɐ/	/ paˈsifiku | paˈsifikɐ /	adj m/f	Que promove a paz ou é calmo.		peaceful	/ˈpisfəl/	/ˈpiːsfᵊl/				pacífico, pacífica							pacifique						friedlich						pacífic						pacifico											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
parvo, parva	<img src="No_Ragrets.jpg">	parvo, parva	parvo, parva	/ˈpaɾ.vu/ ,  /ˈpaɾ.vɐ/	/ ˈpaʁvu | ˈpaʁvɐ /	adj m/f	Que é tolo ou sem inteligência.		dumb	/ˈdəm/	/ˈdʌm/				tonto, tonta (con "p")			adjm, adjf				idiot						dumm						babau						idiota											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
pateta		pateta	pateta	/pɐ.ˈte.tɐ/	/ paˈtɛtɐ /	adj m/f	Que é bobo ou infantil.		silly	/ˈsɪli/	/ˈsɪli/				imbécil							bébé						blöd						dotzo						sciocco											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
patife		patife	patife	/pɐ.ˈti.fɨ/	/ paˈtʃifi /	sm	Pessoa desonesta ou de mau caráter.		rascal	/ˈɹæskəl/	/ˈrɑːskᵊl/				granuja							canaille						schurke						golfero						mascalzone											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
piroso, pirosa		piroso, pirosa	piroso, pirosa	/pi.ˈɾo.zu/ ,  /pi.ˈɾo.zɐ/	/ piˈɾɔzu | piˈɾɔzɐ /	adj m/f	Que é de mau gosto ou vulgar.		tacky	/ˈtæki/	/ˈtæki/				hortera							terne						billig						tacky						squallido											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
precavido, precavida	<img src="Moblit Saving Hange.jpeg">	precavido, precavida	precavido, precavida	/pɾɨ.kɐ.ˈvi.du/ ,  /pɾɨ.kɐ.ˈvi.dɐ/	/ pɾekaˈvidu | pɾekaˈvidɐ /	adj m/f	Que toma precauções ou é prudente.		cautious	/ˈkɔʃəs/	/ˈkɔːʃəs/				precavido							prudent						vorsichtig						precavit						prudente											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
presunçoso, presunçosa	<img src="Jean_Engreido.gif">	presunçoso, presunçosa	presunçoso, presunçosa	/pɾɨ.zũ.ˈso.zu/ ,  /pɾɨ.zũ.ˈso.zɐ/	/ pɾezũˈsɔzu | pɾezũˈsɔzɐ /	adj m/f	Que demonstra arrogância ou vaidade excessiva.		presumptuous	/pɹɪˈzəmpʃəwəs/	/prɪˈzʌmptʃəs/				presuntuoso							prétentieux						anmaßend						presumptuós						presuntuoso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
pródigo, pródiga	<img src="Mikasa Chibi.JPG">	pródigo, pródiga	pródigo, pródiga	/ˈpɾɔ.di.gu/ ,  /ˈpɾɔ.di.gɐ/	/ ˈpɾɔdʒiɡu | ˈpɾɔdʒiɡɐ /	adj m/f	Que é generoso ou gasta de forma excessiva.		prodigal	/ˈpɹɑdɪɡəl/	/ˈprɒdɪɡᵊl/				pródigo							prodigal						verschwenderisch						pròdig						prodigale											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
progressista		progressista	progressista	/pɾu.gɾɨ.ˈsiʃ.tɐ/	/ pɾoɡɾeˈsistɐ /	adj m/f	Que defende ideias ou mudanças progressivas.		progressive	/pɹəˈɡɹɛsɪv/	/prəˈɡresɪv/				progresista							progressiste						progressiv						progressista						progressista											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
prudente	<img src="Moblit_Hange.JPG">	prudente	prudente	/pɾu.ˈdẽ.tɨ/	/ pɾuˈdẽtʃi /	adj m/f	Que age com cautela ou sensatez.		prudent	/ˈpɹudn̩t/	/ˈpruːdᵊnt/				prudente							prudent						umsichtig						prudent						prudente											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
reacionário, reacionária	<img src="Kitz_Woemann.JPG">	reacionário, reacionária	reacionário, reacionária	/ʁi.ɐ.si.u.ˈna.ɾi.u/ ,  /ʁi.ɐ.si.u.ˈna.ɾi.ɐ/	/ ʁiasioˈnaɾiu | ʁiasioˈnaɾiɐ /	adj m/f	Que é contrário a mudanças ou progressos.		reactionary	/ɹiˈækʃəˌnɛri/	/riˈækʃᵊnᵊri/				reaccionario							réactionnaire						reaktionär						reaccionari						reazionario											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
resoluto, resoluta	<img src="SNK Survey Corps_SM.JPG">	resoluto, resoluta	resoluto, resoluta	/ʁɨ.zu.ˈɫu.tu/ ,  /ʁɨ.zu.ˈɫu.tɐ/	/ ʁezoˈlutu | ʁezoˈlutɐ /	adj m/f	Que é decidido ou firme em suas ações.		resolute	/ˈɹɛzəˌlut/	/ˈrezəluːt/				resuelto							résolu						entschlossen						resolt risoluto																	Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
retraído, retraída	<img src="Mikasa_Clothing.JPG">	retraído, retraída	retraído, retraída	/ʁɨ.tɾɐ.ˈi.du/ ,  /ʁɨ.tɾɐ.ˈi.dɐ/	/ ʁetɾaˈidu | ʁetɾaˈidɐ /	adj m/f	Que é tímido ou reservado.		withdrawn	/wɪðˈdɹɔn/	/wɪðˈdrɔːn/				retraído							renfermé						zurückgezogen						retraído						riservato											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
revolucionário, revolucionária	<img src="Restaurationist_Grisha.JPG">	revolucionário, revolucionária	revolucionário, revolucionária	/ʁɨ.vu.ɫu.si.u.ˈna.ɾi.u/ ,  /ʁɨ.vu.ɫu.si.u.ˈna.ɾi.ɐ/	/ ʁevolusioˈnaɾiu | ʁevolusioˈnaɾiɐ /	adj m/f	Que promove ou apoia revoluções ou mudanças radicais.		revolutionary	/ˌɹɛvəˈluʃəˌnɛri/	/ˌrevəˈluːʃᵊnᵊri/				revolucionario							révolutionnaire						revolutionär						revolucionari						rivoluzionario											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
ríspido, ríspida	<img src="Levi_NO.JPG">	ríspido, ríspida	ríspido, ríspida	/ˈʁiʃ.pɨ.du/ ,  /ˈʁiʃ.pɨ.dɐ/	/ ˈʁispidu | ˈʁispidɐ /	adj m/f	Que é áspero ou rude no trato com os outros.		gruff	/ˈɡɹəf/	/ˈɡrʌf/				áspero							grégaire						rau						ríspid						ruvido											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
rudo, ruda	<img src="Levi_Court.gif">	rudo, ruda	rudo, ruda	/ˈʁu.du/ ,  /ˈʁu.dɐ/	/ ˈʁudu | ˈʁudɐ /	adj m/f	Que é bruto ou sem refinamento.		rough	/ˈɹəf/	/ˈrʌf/				rudo							rude						rauh						rude						rozzo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
seguro, segura	<img src="Jean_Engreido.gif">	seguro, segura	seguro, segura	/sɨ.ˈgu.ɾu/ ,  /sɨ.ˈgu.ɾɐ/	/ seˈɡuɾu | seˈɡuɾɐ /	adj m/f	Que é confiante ou livre de riscos.		confident	/ˈkɑnfədənt/	/ˈkɒnfɪdᵊnt/				seguro							sûr						sicher						segur						sicuro											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
sensível		sensível	sensível	/sẽ.ˈsi.vɛɫ/	/ sẽˈsivɛw /	adj m/f	Que reage facilmente a estímulos emocionais ou físicos.		sensitive	/ˈsɛnsətɪv/	/ˈsensɪtɪv/				sensible							sensible						sensibel						sensible						sensibile											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
sereno, serena		sereno, serena	sereno, serena	/sɨ.ˈɾe.nu/ ,  /sɨ.ˈɾe.nɐ/	/ seˈɾɛnu | seˈɾɛnɐ /	adj m/f	Que é tranquilo ou calmo.		serene	/sə˞ˈɹin/	/səˈriːn/				sereno							serein						gelassen						seré						sereno											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
sincero, sincera	<img src="Armin_Liar.JPG">	sincero, sincera	sincero, sincera	/sĩ.ˈse.ɾu/ ,  /sĩ.ˈse.ɾɐ/	/ sĩˈsɛɾu | sĩˈsɛɾɐ /	adj m/f	Que é honesto ou franco.		sincere	/sɪnˈsɪr/	/sɪnˈsɪə/				sincero							sincère						aufrichtig						sincer						sincero											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
somítico, somítica	<img src="Greedy_Eren.png">	somítico, somítica	somítico, somítica	/su.ˈmi.tɨ.ku/ ,  /su.ˈmi.tɨ.kɐ/	/ soˈmitʃiku | soˈmitʃikɐ /	adj m/f	Que é avarento ou muito econômico.		greedy	/ˈɡɹidi/	/ˈɡriːdi/				avaricioso, avariciosa (com "s")			adjm, adjf				avare						geizig						avar						avaro											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
sossegado, sossegada	<img src="JeanMarco.jpg">	sossegado, sossegada	sossegado, sossegada	/su.sɨ.ˈga.du/ ,  /su.sɨ.ˈga.dɐ/	/ soseˈɡadu | soseˈɡadɐ /	adj m/f	Que é calmo ou tranquilo.		calm	/ˈkɑm/	/ˈkɑːm/				tranquilo							calme						ruhig						calma						calmo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
sovina		sovina	sovina	/su.ˈvi.nɐ/	/ soˈvinɐ /	adj m/f	Que é avarento ou mão de vaca. (Com "S")		stingy	/ˈstɪndʒi/	/ˈstɪndʒi/				tacaño							avare						geizig						tacany						avaro											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
tem madeixas		tem madeixas	tem madeixas	/tɐ̃j mɐ.ˈdɐj.ʃɐʃ/	/ ˈtẽj̃ maˈdejʃas /	exp	Expressão usada para descrever alguém com mechas no cabelo.		has highlights	/həs ˈhaɪˌlaɪts/	/həs ˈhaɪlaɪts/				tiene mechas							a des mèches						hat Strähnchen						té metxes						ha i colpi di sole											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao::Cabelo
temeroso, temerosa		temeroso, temerosa	temeroso, temerosa	/tɨ.mɨ.ˈɾo.zu/ ,  /tɨ.mɨ.ˈɾo.zɐ/	/ temeˈɾɔzu | temeˈɾɔzɐ /	adj m/f	Que sente ou inspira medo.		fearful	/ˈfɪrfəl/	/ˈfɪəfᵊl/				temeroso, temerosa			adjm, adjf				peureux						ängstlich						temerós						temeroso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
tolerante	<img src="creeping Levi.gif">	tolerante	tolerante	/tu.ɫɨ.ˈɾɐ̃.tɨ/	/ toleˈɾɐ̃tʃi /	adj m/f	Que aceita diferenças ou opiniões alheias.		tolerant	/ˈtɑlə˞ɹənt/	/ˈtɒlᵊrᵊnt/				tolerante							tolérant						tolerant						tolerant						tollerante											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
tolo, tola	<img src="Connie_01.png">	tolo, tola	tolo, tola	/ˈto.ɫu/ ,  /ˈto.ɫɐ/	/ ˈtɔlu | ˈtɔlɐ /	adj m/f	Que é ingênuo ou sem inteligência.		fool	/ˈful/	/ˈfuːl/				tonto							imbécile						Dummkopf						babau						scemo											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
tranquilo, tranquila		tranquilo, tranquila	tranquilo, tranquila	/tɾɐ̃.ˈki.ɫu/ ,  /tɾɐ̃.ˈki.ɫɐ/	/ tɾɐ̃ˈkilu | tɾɐ̃ˈkilɐ /	adj m/f	Que é calmo ou sereno.		tranquil	/ˈtɹæŋkwəl/	/ˈtræŋkwɪl/				tranquilo							tranquille						ruhig						tranquil						tranquillo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
transigente		transigente	transigente	/tɾɐ̃.zɨ.ˈʒẽ.tɨ/	/ tɾɐ̃siˈʒẽtʃi /	adj m/f	Que é flexível ou está disposto a fazer concessões.		accommodating	/əˈkɑməˌdeɪtɪŋ/	/əˈkɒmədeɪtɪŋ/				transigente							accommodant						entgegenkommend						transigent						transigente											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
trapalhão, trapalhona		trapalhão, trapalhona	trapalhão, trapalhona	/tɾɐ.pɐ.ˈʎɐ̃w/ ,  /tɾɐ.pɐ.ˈʎo.nɐ/	/ tɾapaˈʎɐ̃w̃ | tɾapaˈʎonɐ /	adj m/f	Que é desajeitado ou confuso.		clumsy	/ˈkləmzi/	/ˈklʌmzi/				torpe							empoté						ungeschickt						patós						goffo											Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
valente	<img src="Mikasa freeing Eren.gif">	valente	valente	/vɐ.ˈɫẽ.tɨ/	/ vaˈlẽtʃi /	adj m/f	Que demonstra coragem ou bravura.		brave	/ˈbɹeɪv/	/ˈbreɪv/				valiente (con "v")							courageux						tapfer						valent						coraggioso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
vergonhoso, vergonhosa		vergonhoso, vergonhosa	vergonhoso, vergonhosa	/vɨɾɡuˈɲɔzu | vɨɾɡuˈɲɔzɐ/	/veʁɡoˈɲɔzu | veʁɡoˈɲɔzɐ/	adj m/f	Que causa vergonha ou constrangimento.		shameful						vergonzoso, vergonzosa			adjm, adjf				honteux						beschämt						avergonyit						vergognoso											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
violento, violenta	<img src="Levi_Kicking.JPG">	violento, violenta	violento, violenta	/vi.u.ˈɫẽ.tu/ ,  /vi.u.ˈɫẽ.tɐ/	/ vioˈlẽtu | vioˈlẽtɐ /	adj m/f	Que usa força excessiva ou é agressivo.		violent	/ˈvaɪələnt/	/ˈvaɪəlᵊnt/				violento							violent						gewalttätig						violent						violento											Portugues::Curso::1A2 Portugues::Livros::1A2_O_Alienista Portugues::Vocabulario::Pessoas::Descripçao Portugues::Adjetivos
